name,category,value,description
Apple Inc,Technology,150.25,Leading technology company specializing in consumer electronics
Microsoft Corp,Technology,320.50,Software and cloud computing giant
Tesla Inc,Technology,180.75,Electric vehicle and clean energy company
Amazon.com Inc,E-commerce,95.30,Global e-commerce and cloud services provider
Google LLC,Technology,280.15,Search engine and digital advertising company
Johnson & Johnson,Healthcare,165.80,Pharmaceutical and consumer goods company
Procter & Gamble,Consumer Goods,145.60,Consumer packaged goods manufacturer
Walmart Inc,Retail,120.45,Large retail chain and grocery store
Bank of America,Financial,35.20,Major banking and financial services
JPMorgan Chase,Financial,42.85,Investment banking and financial services
Coca-Cola Co,Consumer Goods,55.90,Beverage company
PepsiCo Inc,Consumer Goods,48.75,Food and beverage corporation
Nike Inc,Consumer Goods,85.40,Athletic footwear and apparel company
McDonald's Corp,Food Service,245.30,Global fast food restaurant chain
Starbucks Corp,Food Service,98.65,Coffeehouse chain and roastery
Netflix Inc,Entertainment,185.20,Streaming entertainment service
Disney Co,Entertainment,95.80,Media and entertainment conglomerate
Facebook Inc,Technology,195.50,Social media and technology company
Twitter Inc,Technology,45.30,Social networking and microblogging service
Uber Technologies,Transportation,28.75,Ride-sharing and food delivery platform

